frame,cycle,register,old_val,new_val
16,19736,osc1_control,$09,$21
16,19758,filter_freq_hi,$0A,$0B
17,20046,osc3_pw_lo,$B0,$20
17,20053,osc3_pw_hi,$0B,$0C
17,20285,osc2_freq_lo,$E5,$D1
17,20292,osc2_freq_hi,$5C,$22
17,20313,osc2_pw_lo,$F0,$E0
17,20320,osc2_pw_hi,$03,$04
17,20330,osc2_control,$81,$41
17,20569,osc1_pw_lo,$E0,$80
17,20576,osc1_pw_hi,$0A,$0B
17,20608,filter_freq_hi,$0B,$0C
18,20943,osc3_pw_lo,$20,$90
18,21178,osc2_freq_lo,$D1,$41
18,21185,osc2_freq_hi,$22,$8B
18,21206,osc2_pw_lo,$E0,$D0
18,21213,osc2_pw_hi,$04,$05
18,21223,osc2_control,$41,$11
18,21454,osc1_freq_lo,$D0,$A1
18,21461,osc1_freq_hi,$22,$1B
18,21482,osc1_pw_lo,$80,$20
18,21489,osc1_pw_hi,$0B,$0C
18,21521,filter_freq_hi,$0C,$0D
19,21816,osc3_pw_lo,$90,$00
19,21863,osc3_pw_hi,$0C,$0D
19,22145,osc2_freq_lo,$41,$D1
19,22152,osc2_freq_hi,$8B,$22
19,22173,osc2_pw_lo,$D0,$C0
19,22180,osc2_pw_hi,$05,$06
19,22190,osc2_control,$11,$41
19,22559,osc1_pw_lo,$20,$C0
19,22598,filter_freq_hi,$0D,$0E
20,22910,osc3_pw_lo,$00,$70
20,23223,osc2_pw_lo,$C0,$F0
20,23435,osc1_freq_lo,$A1,$39
20,23442,osc1_freq_hi,$1B,$17
20,23463,osc1_pw_lo,$C0,$60
20,23470,osc1_pw_hi,$0C,$0D
20,23542,filter_freq_hi,$0E,$0F
21,23830,osc3_pw_lo,$70,$E0
21,24123,osc2_pw_lo,$F0,$20
21,24130,osc2_pw_hi,$06,$07
21,24140,osc2_control,$41,$11
21,24434,osc1_pw_lo,$60,$00
21,24441,osc1_pw_hi,$0D,$0E
21,24507,filter_freq_hi,$0F,$10
22,24835,osc3_pw_lo,$E0,$50
22,24842,osc3_pw_hi,$0D,$0E
22,25062,osc2_pw_lo,$20,$50
22,25079,osc2_control,$11,$40
22,25274,osc1_freq_lo,$39,$6E
22,25281,osc1_freq_hi,$17,$12
22,25302,osc1_pw_lo,$00,$A0
22,25319,osc1_control,$21,$20
