Loaded: C:\Users\mit\claude\c64server\SIDM2\SID\stinsen_test.sf2 @ $0D7E
Mem[$0E00]: 4C 92 14 4C 9B 14   (INIT)
Mem[$0E06]: A9 00 2C 81 15 30   (PLAY)
Calling INIT @ $0E00...
INIT done. SID regs:
[sid] registers: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
Running 300 frames via PLAY @ $0E06...
frame,cycle,register,old_val,new_val
18,16099,osc1_pw_lo,$00,$E0
18,16106,osc1_pw_hi,$00,$10
18,16116,osc1_control,$00,$F2
--- Frame 18: 8 SID changes ---
19,16445,osc1_pw_lo,$E0,$00
19,16452,osc1_pw_hi,$10,$00
19,16462,osc1_control,$F2,$00
19,16665,osc2_pw_lo,$62,$4B
19,16672,osc2_pw_hi,$10,$11
19,16931,osc1_pw_lo,$00,$D0
19,16938,osc1_pw_hi,$00,$11
19,16948,osc1_control,$00,$F2
--- Frame 19: 8 SID changes ---
20,17237,osc1_pw_lo,$D0,$00
20,17244,osc1_pw_hi,$11,$00
20,17254,osc1_control,$F2,$00
20,17497,osc2_pw_lo,$4B,$34
20,17504,osc2_pw_hi,$11,$12
20,17723,osc1_pw_lo,$00,$C0
20,17730,osc1_pw_hi,$00,$12
20,17740,osc1_control,$00,$F2
--- Frame 20: 8 SID changes ---
21,18069,osc1_pw_lo,$C0,$00
21,18076,osc1_pw_hi,$12,$00
21,18086,osc1_control,$F2,$00
21,18289,osc2_pw_lo,$34,$1D
21,18296,osc2_pw_hi,$12,$13
21,18555,osc1_pw_lo,$00,$B0
21,18562,osc1_pw_hi,$00,$13
21,18572,osc1_control,$00,$F2
--- Frame 21: 8 SID changes ---
22,18861,osc1_pw_lo,$B0,$00
22,18868,osc1_pw_hi,$13,$00
22,18878,osc1_control,$F2,$00
22,19121,osc2_pw_lo,$1D,$06
22,19128,osc2_pw_hi,$13,$14
22,19347,osc1_pw_lo,$00,$A0
22,19354,osc1_pw_hi,$00,$14
22,19364,osc1_control,$00,$F2
--- Frame 22: 8 SID changes ---
23,19693,osc1_pw_lo,$A0,$00
23,19700,osc1_pw_hi,$14,$00
23,19710,osc1_control,$F2,$00
23,19913,osc2_pw_lo,$06,$EF
23,20179,osc1_pw_lo,$00,$90
23,20186,osc1_pw_hi,$00,$15
23,20196,osc1_control,$00,$F2
--- Frame 23: 7 SID changes ---
24,20485,osc1_pw_lo,$90,$00
24,20492,osc1_pw_hi,$15,$00
24,20502,osc1_control,$F2,$00
24,20745,osc2_pw_lo,$EF,$D8
24,20752,osc2_pw_hi,$14,$15
24,20971,osc1_pw_lo,$00,$80
24,20978,osc1_pw_hi,$00,$16
24,20988,osc1_control,$00,$F2
--- Frame 24: 8 SID changes ---
25,21317,osc1_pw_lo,$80,$00
25,21324,osc1_pw_hi,$16,$00
25,21334,osc1_control,$F2,$00
25,21537,osc2_pw_lo,$D8,$C1
25,21544,osc2_pw_hi,$15,$16
25,21803,osc1_pw_lo,$00,$70
25,21810,osc1_pw_hi,$00,$17
25,21820,osc1_control,$00,$F2
--- Frame 25: 8 SID changes ---
26,22109,osc1_pw_lo,$70,$00
26,22116,osc1_pw_hi,$17,$00
26,22126,osc1_control,$F2,$00
26,22369,osc2_pw_lo,$C1,$AA
26,22376,osc2_pw_hi,$16,$17
26,22595,osc1_pw_lo,$00,$60
26,22602,osc1_pw_hi,$00,$18
26,22612,osc1_control,$00,$F2
--- Frame 26: 8 SID changes ---
27,22941,osc1_pw_lo,$60,$00
27,22948,osc1_pw_hi,$18,$00
27,22958,osc1_control,$F2,$00
27,23161,osc2_pw_lo,$AA,$93
27,23168,osc2_pw_hi,$17,$18
27,23387,osc1_pw_lo,$00,$50
27,23394,osc1_pw_hi,$00,$19
27,23404,osc1_control,$00,$F2
--- Frame 27: 8 SID changes ---
28,23733,osc1_pw_lo,$50,$00
28,23740,osc1_pw_hi,$19,$00
28,23750,osc1_control,$F2,$00
28,23953,osc2_pw_lo,$93,$7C
28,23960,osc2_pw_hi,$18,$19
28,24219,osc1_pw_lo,$00,$40
28,24226,osc1_pw_hi,$00,$1A
28,24236,osc1_control,$00,$F2
--- Frame 28: 8 SID changes ---
29,24525,osc1_pw_lo,$40,$00
29,24572,osc1_pw_hi,$1A,$00
29,24582,osc1_control,$F2,$00
29,24785,osc2_pw_lo,$7C,$65
29,24792,osc2_pw_hi,$19,$1A
29,25011,osc1_pw_lo,$00,$30
29,25018,osc1_pw_hi,$00,$1B
29,25028,osc1_control,$00,$F2
--- Frame 29: 8 SID changes ---
30,25357,osc1_pw_lo,$30,$00
30,25364,osc1_pw_hi,$1B,$00
30,25374,osc1_control,$F2,$00
30,25577,osc2_pw_lo,$65,$4E
30,25584,osc2_pw_hi,$1A,$1B
30,25843,osc1_pw_lo,$00,$20
30,25850,osc1_pw_hi,$00,$1C
30,25860,osc1_control,$00,$F2
--- Frame 30: 8 SID changes ---
31,26149,osc1_pw_lo,$20,$00
31,26156,osc1_pw_hi,$1C,$00
31,26166,osc1_control,$F2,$00
31,26409,osc2_pw_lo,$4E,$37
31,26416,osc2_pw_hi,$1B,$1C
31,26635,osc1_pw_lo,$00,$10
31,26642,osc1_pw_hi,$00,$1D
31,26652,osc1_control,$00,$F2
--- Frame 31: 8 SID changes ---
32,26981,osc1_pw_lo,$10,$00
