Loaded: Think_Twice_V.prg @ $1000
Mem[$1573]: A9 06 8D 01 10 A9   (INIT)
Mem[$13D7]: A5 FB 48 A5 FC 48   (PLAY)
Calling INIT @ $1573 (subtune 0)...
INIT done. SID regs:
[sid] registers: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6F 
Running 200 frames via PLAY @ $13D7...
frame,cycle,register,old_val,new_val
12,12030,osc2_freq_lo,$BC,$1C
12,12094,osc2_pw_lo,$A8,$C4
12,12157,osc2_freq_hi,$01,$02
12,12168,osc2_freq_lo,$1C,$38
12,12261,osc2_freq_lo,$38,$AC
12,12268,osc2_freq_hi,$02,$00
12,12473,osc3_pw_lo,$A0,$C0
--- Frame 12: 9 SID changes ---
13,12754,osc1_pw_lo,$C0,$E0
13,12909,osc2_freq_hi,$00,$02
13,12920,osc2_freq_lo,$AC,$CC
13,13033,osc2_pw_lo,$C4,$E0
13,13095,osc2_freq_hi,$02,$01
13,13106,osc2_freq_lo,$CC,$1C
13,13204,osc2_freq_lo,$1C,$9C
13,13211,osc2_freq_hi,$01,$00
13,13376,osc3_pw_lo,$C0,$E0
--- Frame 13: 9 SID changes ---
14,13697,osc1_pw_lo,$E0,$00
14,13710,osc1_pw_hi,$03,$04
14,13852,osc2_freq_hi,$00,$01
14,13863,osc2_freq_lo,$9C,$DD
14,13927,osc2_pw_lo,$E0,$FC
14,13990,osc2_freq_hi,$01,$02
14,14001,osc2_freq_lo,$DD,$38
14,14134,osc2_freq_lo,$38,$8C
14,14141,osc2_freq_hi,$02,$00
14,14306,osc3_pw_lo,$E0,$00
14,14319,osc3_pw_hi,$03,$04
--- Frame 14: 11 SID changes ---
15,14627,osc1_pw_lo,$00,$20
15,14782,osc2_freq_hi,$00,$02
15,14793,osc2_freq_lo,$8C,$38
15,14857,osc2_pw_lo,$FC,$18
15,14870,osc2_pw_hi,$1C,$1D
15,14919,osc2_freq_hi,$02,$01
15,14930,osc2_freq_lo,$38,$1C
15,15028,osc2_freq_lo,$1C,$7C
15,15035,osc2_freq_hi,$01,$00
15,15245,osc3_pw_lo,$00,$20
--- Frame 15: 10 SID changes ---
16,15526,osc1_pw_lo,$20,$40
16,15681,osc2_freq_hi,$00,$01
16,15692,osc2_freq_lo,$7C,$7B
16,15796,osc2_pw_lo,$18,$34
16,15859,osc2_freq_hi,$01,$02
16,15870,osc2_freq_lo,$7B,$38
16,15963,osc2_freq_lo,$38,$6C
