Loaded: Think_Twice_III.prg @ $B100
Mem[$BAC9]: A9 05 8D F4 B1 A9   (INIT)
Mem[$B5CA]: A5 FB 48 A5 FC 48   (PLAY)
Calling INIT @ $BAC9 (subtune 0)...
INIT done. SID regs:
[sid] registers: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6F 
Running 200 frames via PLAY @ $B5CA...
frame,cycle,register,old_val,new_val
16,14820,osc1_freq_lo,$A7,$B1
16,14906,osc2_freq_hi,$1F,$27
16,14918,osc2_freq_lo,$A5,$DF
16,14998,osc2_pw_lo,$A8,$EC
--- Frame 16: 6 SID changes ---
17,15482,osc1_freq_lo,$B1,$A7
17,15558,osc1_pw_lo,$FD,$14
17,15571,osc1_pw_hi,$01,$02
17,15628,osc1_freq_lo,$A7,$B1
17,15754,osc2_freq_hi,$27,$1D
17,15851,osc2_pw_lo,$EC,$30
17,15864,osc2_pw_hi,$03,$04
--- Frame 17: 7 SID changes ---
18,16335,osc1_freq_lo,$B1,$A7
18,16411,osc1_pw_lo,$14,$2B
18,16567,osc2_freq_hi,$1D,$1F
18,16578,osc2_freq_lo,$DF,$A5
18,16658,osc2_pw_lo,$30,$74
--- Frame 18: 5 SID changes ---
19,17224,osc1_pw_lo,$2B,$42
19,17294,osc1_freq_lo,$A7,$C5
19,17427,osc2_freq_hi,$1F,$27
19,17439,osc2_freq_lo,$A5,$DF
19,17519,osc2_pw_lo,$74,$B8
--- Frame 19: 5 SID changes ---
20,18023,osc1_freq_lo,$C5,$A7
20,18099,osc1_pw_lo,$42,$59
20,18169,osc1_freq_lo,$A7,$C5
20,18255,osc2_freq_hi,$27,$1D
20,18346,osc2_pw_lo,$B8,$FC
--- Frame 20: 5 SID changes ---
21,18830,osc1_freq_lo,$C5,$A7
21,18906,osc1_pw_lo,$59,$70
21,18976,osc1_freq_lo,$A7,$B1
21,19102,osc2_freq_hi,$1D,$1F
21,19113,osc2_freq_lo,$DF,$A5
21,19193,osc2_pw_lo,$FC,$40
21,19206,osc2_pw_hi,$04,$05
--- Frame 21: 7 SID changes ---
22,19677,osc1_freq_lo,$B1,$A7
22,19758,osc1_pw_lo,$70,$87
22,19914,osc2_freq_hi,$1F,$27
22,19926,osc2_freq_lo,$A5,$DF
22,20006,osc2_pw_lo,$40,$84
--- Frame 22: 5 SID changes ---
23,20566,osc1_pw_lo,$87,$9E
23,20636,osc1_freq_lo,$A7,$B1
23,20762,osc2_freq_hi,$27,$1D
23,20853,osc2_pw_lo,$84,$C8
--- Frame 23: 4 SID changes ---
24,21337,osc1_freq_lo,$B1,$A7
24,21413,osc1_pw_lo,$9E,$B5
24,21483,osc1_freq_lo,$A7,$B1
24,21576,osc2_freq_hi,$1D,$1F
24,21587,osc2_freq_lo,$DF,$A5
24,21667,osc2_pw_lo,$C8,$0C
24,21680,osc2_pw_hi,$05,$06
--- Frame 24: 7 SID changes ---
25,22171,osc1_freq_lo,$B1,$A7
25,22247,osc1_pw_lo,$B5,$CC
25,22357,osc1_freq_lo,$A7,$BB
25,22443,osc2_freq_hi,$1F,$27
25,22455,osc2_freq_lo,$A5,$DF
25,22535,osc2_pw_lo,$0C,$50
--- Frame 25: 6 SID changes ---
26,23019,osc1_freq_lo,$BB,$A7
26,23095,osc1_pw_lo,$CC,$E3
26,23165,osc1_freq_lo,$A7,$C5
26,23251,osc2_freq_hi,$27,$1D
26,23342,osc2_pw_lo,$50,$94
--- Frame 26: 5 SID changes ---
27,23826,osc1_freq_lo,$C5,$A7
27,23902,osc1_pw_lo,$E3,$FA
27,24012,osc1_freq_lo,$A7,$BB
27,24098,osc2_freq_hi,$1D,$1F
27,24109,osc2_freq_lo,$DF,$A5
27,24189,osc2_pw_lo,$94,$D8
--- Frame 27: 6 SID changes ---
28,24673,osc1_freq_lo,$BB,$A7
28,24749,osc1_pw_lo,$FA,$11
28,24762,osc1_pw_hi,$02,$03
28,24819,osc1_freq_lo,$A7,$B1
28,24905,osc2_freq_hi,$1F,$27
28,24917,osc2_freq_lo,$A5,$DF
